Entity,Code,Year,Average in 2015,Population (historical),Continent,Average before 2000,Year
Abkhazia,OWID_ABK,2015,,,Asia,,
Afghanistan,AFG,2015,,33831765,Asia,,
Africa,,2015,,1220075728,,,
Africa (UN),,2015,,1220075494,,,
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia,,
Aland Islands,ALA,2015,,,Europe,,
Albania,ALB,2015,436.73,2898634,Europe,,
Algeria,DZA,2015,375.14,40019528,Africa,,
American Samoa,ASM,2015,,52895,Oceania,,
Americas (UN),,2015,,982256772,,,
Andorra,AND,2015,,72194,Europe,,
Angola,AGO,2015,,28157801,Africa,,
Anguilla,AIA,2015,,14235,North America,,
Antarctica,ATA,2015,,,Antarctica,,
Antigua and Barbuda,ATG,2015,,89422,North America,,
Argentina,ARG,2015,429.38,43477009,South America,377.66,1995
Argentina (Buenos Aires),,2015,414.19,,,,
Armenia,ARM,2015,,2921179,Asia,,
Aruba,ABW,2015,,104200,North America,,
Asia,,2015,,4482088478,,,
Asia (UN),,2015,,4483307887,,,
Asia (excl. China and India),,2015,,1693619072,,,
Australia,AUS,2015,509.22,23947998,Oceania,475.87,1985
Austria,AUT,2015,519.54,8644037,Europe,529.96,1995
Austria-Hungary,OWID_AUH,2015,,,Europe,,
Azerbaijan,AZE,2015,,9752859,Asia,,
Baden,OWID_BAD,2015,,,Europe,,
Bahamas,BHS,2015,,385355,North America,,
Bahrain,BHR,2015,452.36,1369656,Asia,,
Bangladesh,BGD,2015,,159383180,Asia,,
Barbados,BRB,2015,,278997,North America,,
Bavaria,OWID_BAV,2015,,,Europe,,
Belarus,BLR,2015,,9487288,Europe,,
Belgium,BEL,2015,529.11,11275332,Europe,,
Belgium Flemish,,2015,541.15,,,497.95,1985
Belize,BLZ,2015,,356340,North America,,
Benin,BEN,2015,,11360681,Africa,,
Bermuda,BMU,2015,,63481,North America,,
Bhutan,BTN,2015,,740624,Asia,,
Bolivia,BOL,2015,,11014707,South America,370.4,1995
Bonaire Sint Eustatius and Saba,BES,2015,,24637,North America,,
Bosnia and Herzegovina,BIH,2015,,3518541,Europe,,
Botswana,BWA,2015,398.47,2203276,Africa,,
Bouvet Island,BVT,2015,,,Antarctica,,
Brazil,BRA,2015,408.76,201675534,South America,270.08,1990
British Indian Ocean Territory,IOT,2015,,,Asia,,
British Virgin Islands,VGB,2015,,34522,North America,,
Brunei,BRN,2015,,422224,Asia,,
Bulgaria,BGR,2015,490.67,7177516,Europe,521.85,1995
Burkina Faso,BFA,2015,,18777488,Africa,334.21,1995
Burundi,BDI,2015,,11047580,Africa,,
Cambodia,KHM,2015,,15623253,Asia,,
Cameroon,CMR,2015,,22763419,Africa,351.96,1995
Canada,CAN,2015,519.69,35962236,North America,482.16,1985
Canada (Ontario),,2015,517.91,,,484.12,1985
Canada (Quebec),,2015,539.36,,,505.31,1990
Cape Verde,CPV,2015,,512405,Africa,,
Cayman Islands,CYM,2015,,61665,North America,,
Central African Republic,CAF,2015,,4629323,Africa,,
Chad,TCD,2015,,14647625,Africa,,
Channel Islands,OWID_CIS,2015,,,Europe,,
Chile,CHL,2015,455.97,18047628,South America,332.04,1985
China,CHN,2015,554.72,1396134164,Asia,,
Christmas Island,CXR,2015,,,Asia,,
Cocos Islands,CCK,2015,,,Asia,,
Colombia,COL,2015,413.67,46969937,South America,352.36,1995
Comoros,COM,2015,,726685,Africa,,
Congo,COG,2015,,5097583,Africa,,
Cook Islands,COK,2015,,17469,Oceania,,
Costa Rica,CRI,2015,422.54,4818044,North America,,
Cote d'Ivoire,CIV,2015,,25246346,Africa,286.02,1995
Croatia,HRV,2015,491.55,4183732,Europe,,
Cuba,CUB,2015,,11275068,North America,505.21,1995
Curacao,CUW,2015,,166620,North America,,
Cyprus,CYP,2015,518,1219504,Europe,438.76,1990
Czechia,CZE,2015,516.2,10524419,Europe,543.48,1995
Czechoslovakia,OWID_CZS,2015,,,Europe,,
Democratic Republic of Congo,COD,2015,,81035535,Africa,,
Denmark,DNK,2015,534.18,5683698,Europe,,
Djibouti,DJI,2015,,1020315,Africa,,
Dominica,DMA,2015,,70429,North America,,
Dominican Republic,DOM,2015,337.71,10434826,North America,344.74,1995
East Germany,OWID_GDR,2015,,,Europe,,
East Timor,TLS,2015,,1205134,Asia,,
Ecuador,ECU,2015,414.71,16266228,South America,,
Egypt,EGY,2015,397.83,99597333,Africa,,
El Salvador,SLV,2015,,6183674,North America,,
England,,2015,532.06,,,448.23,1985
Equatorial Guinea,GNQ,2015,,1453926,Africa,,
Eritrea,ERI,2015,,3105554,Africa,,
Estonia,EST,2015,542.42,1314581,Europe,,
Eswatini,SWZ,2015,,1142823,Africa,488.92,1980
Ethiopia,ETH,2015,,103867140,Africa,,
Ethiopia (former),OWID_ERE,2015,,,Africa,,
Europe,,2015,,745456775,,,
Europe (UN),,2015,,744237034,,,
Europe (excl. Russia),,2015,,599857920,,,
European Union (27),,2015,,443910923,,,
Falkland Islands,FLK,2015,,3432,South America,,
Faroe Islands,FRO,2015,,48916,Europe,,
Fiji,FJI,2015,,918583,Oceania,,
Finland,FIN,2015,531.13,5479718,Europe,458.37,1985
France,FRA,2015,499.18,64916336,Europe,505.94,1985
French Guiana,GUF,2015,,266377,South America,,
